URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,26,6,0.62,0.05,15.68,0.14,6.33,11.61,168,637,2.19,12,6.34
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,53,31,0.26,0.09,18.32,0.25,7.43,11.61,364,884,2.47,4,7.21
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,36,23,0.22,0.08,19.23,0.33,7.82,11.61,355,678,2.79,13,8.08
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,37,74,-0.33,0.14,20.76,0.31,8.43,11.61,324,672,2.67,5,7.81
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,19,8,0.41,0.06,17.74,0.24,7.19,11.61,165,419,2.35,6,7.28
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,86,27,0.52,0.09,21.1,0.3,8.56,11.61,556,1164,2.54,6,7.78
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,30,66,-0.37,0.11,17.53,0.22,7.1,11.61,295,795,2.36,1,6.93
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,28,9,0.51,0.06,16.17,0.36,6.61,11.61,274,496,2.85,3,8.23
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,37,51,-0.16,0.12,16.67,0.35,6.81,11.61,329,644,2.77,3,7.98
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,128,181,-0.17,0.14,15.48,0.24,6.29,11.61,892,1987,2.61,13,7.55
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,55,20,0.47,0.08,21.49,0.29,8.71,11.61,422,874,2.65,3,7.71
